"SNP" "Gene"
"SNP78" "Gene2653"
"SNP78" "Gene2674"
"SNP78" "Gene3180"
"SNP79" "Gene178"
"SNP79" "Gene843"
"SNP79" "Gene845"
"SNP79" "Gene1210"
"SNP79" "Gene1494"
"SNP79" "Gene2653"
"SNP79" "Gene2674"
"SNP79" "Gene3180"
"SNP81" "Gene178"
"SNP81" "Gene843"
"SNP81" "Gene845"
"SNP81" "Gene1210"
"SNP81" "Gene1494"
"SNP81" "Gene2653"
"SNP81" "Gene2674"
"SNP81" "Gene3180"
"SNP82" "Gene1504"
"SNP82" "Gene3870"
"SNP90" "Gene227"
"SNP90" "Gene575"
"SNP90" "Gene3878"
"SNP90" "Gene3879"
"SNP90" "Gene4227"
"SNP92" "Gene552"
"SNP92" "Gene1412"
"SNP92" "Gene2421"
"SNP92" "Gene2858"
"SNP92" "Gene2859"
"SNP92" "Gene2876"
"SNP92" "Gene3139"
"SNP96" "Gene4467"
"SNP100" "Gene655"
"SNP100" "Gene723"
"SNP100" "Gene916"
"SNP100" "Gene1482"
"SNP100" "Gene1483"
"SNP100" "Gene1765"
"SNP100" "Gene1857"
"SNP100" "Gene2063"
"SNP100" "Gene2531"
"SNP100" "Gene3903"
"SNP100" "Gene4038"
"SNP101" "Gene3125"
"SNP102" "Gene576"
"SNP102" "Gene1169"
"SNP102" "Gene1232"
"SNP102" "Gene2255"
"SNP102" "Gene2926"
"SNP102" "Gene3246"
"SNP102" "Gene3670"
"SNP104" "Gene45"
"SNP104" "Gene390"
"SNP104" "Gene881"
"SNP104" "Gene2018"
"SNP104" "Gene3633"
"SNP106" "Gene4467"
"SNP109" "Gene1881"
"SNP113" "Gene458"
"SNP113" "Gene1322"
"SNP113" "Gene3828"
"SNP121" "Gene1669"
"SNP121" "Gene2228"
"SNP121" "Gene2229"
"SNP122" "Gene1669"
"SNP122" "Gene2228"
"SNP122" "Gene2229"
"SNP124" "Gene588"
"SNP124" "Gene2734"
"SNP124" "Gene2788"
"SNP124" "Gene2912"
"SNP124" "Gene3060"
"SNP124" "Gene3626"
"SNP124" "Gene4271"
"SNP125" "Gene588"
"SNP125" "Gene2734"
"SNP125" "Gene2788"
"SNP125" "Gene2912"
"SNP125" "Gene3060"
"SNP125" "Gene3626"
"SNP125" "Gene4271"
"SNP126" "Gene4467"
"SNP129" "Gene1462"
"SNP129" "Gene3893"
"SNP131" "Gene4467"
"SNP132" "Gene4467"
"SNP137" "Gene193"
"SNP137" "Gene437"
"SNP137" "Gene1296"
"SNP137" "Gene1792"
"SNP137" "Gene1817"
"SNP137" "Gene3735"
"SNP138" "Gene4467"
"SNP139" "Gene1352"
"SNP139" "Gene2852"
"SNP144" "Gene2267"
"SNP144" "Gene2879"
"SNP144" "Gene3219"
"SNP144" "Gene3717"
"SNP152" "Gene178"
"SNP152" "Gene843"
"SNP152" "Gene845"
"SNP152" "Gene1210"
"SNP152" "Gene1494"
"SNP152" "Gene2653"
"SNP152" "Gene3180"
"SNP154" "Gene55"
"SNP154" "Gene120"
"SNP154" "Gene438"
"SNP154" "Gene446"
"SNP154" "Gene601"
"SNP154" "Gene1176"
"SNP154" "Gene1214"
"SNP154" "Gene1337"
"SNP154" "Gene1465"
"SNP154" "Gene1467"
"SNP154" "Gene1892"
"SNP154" "Gene2282"
"SNP154" "Gene2546"
"SNP154" "Gene2660"
"SNP154" "Gene2888"
"SNP154" "Gene2969"
"SNP154" "Gene3027"
"SNP154" "Gene3072"
"SNP154" "Gene3204"
"SNP154" "Gene3205"
"SNP154" "Gene3817"
"SNP154" "Gene4013"
"SNP154" "Gene4036"
"SNP157" "Gene271"
"SNP157" "Gene1249"
"SNP157" "Gene2247"
"SNP157" "Gene2530"
"SNP157" "Gene2572"
"SNP157" "Gene3008"
"SNP157" "Gene3625"
"SNP157" "Gene3705"
"SNP157" "Gene3949"
"SNP157" "Gene4050"
"SNP157" "Gene4103"
"SNP157" "Gene4396"
"SNP158" "Gene22"
"SNP158" "Gene58"
"SNP158" "Gene190"
"SNP158" "Gene232"
"SNP158" "Gene331"
"SNP158" "Gene334"
"SNP158" "Gene337"
"SNP158" "Gene341"
"SNP158" "Gene342"
"SNP158" "Gene598"
"SNP158" "Gene599"
"SNP158" "Gene600"
"SNP158" "Gene792"
"SNP158" "Gene945"
"SNP158" "Gene1140"
"SNP158" "Gene1525"
"SNP158" "Gene1653"
"SNP158" "Gene1889"
"SNP158" "Gene2003"
"SNP158" "Gene2234"
"SNP158" "Gene2283"
"SNP158" "Gene2507"
"SNP158" "Gene2608"
"SNP158" "Gene2822"
"SNP158" "Gene3003"
"SNP158" "Gene3254"
"SNP158" "Gene3258"
"SNP158" "Gene3332"
"SNP158" "Gene3470"
"SNP158" "Gene3562"
"SNP158" "Gene3677"
"SNP158" "Gene3791"
"SNP158" "Gene3794"
"SNP158" "Gene3798"
"SNP158" "Gene3927"
"SNP158" "Gene4466"
"SNP159" "Gene826"
"SNP159" "Gene2813"
"SNP159" "Gene3034"
"SNP159" "Gene3056"
"SNP159" "Gene3333"
"SNP159" "Gene3338"
"SNP159" "Gene3370"
"SNP159" "Gene3436"
"SNP159" "Gene3502"
"SNP159" "Gene3662"
"SNP159" "Gene3758"
"SNP159" "Gene3822"
"SNP159" "Gene3942"
"SNP159" "Gene4233"
"SNP159" "Gene4348"
"SNP162" "Gene428"
"SNP162" "Gene700"
"SNP162" "Gene1428"
"SNP162" "Gene1702"
"SNP162" "Gene1885"
"SNP162" "Gene2094"
"SNP162" "Gene2385"
"SNP162" "Gene3315"
"SNP162" "Gene3594"
"SNP162" "Gene4238"
"SNP166" "Gene1498"
"SNP166" "Gene1648"
"SNP166" "Gene1649"
"SNP166" "Gene2294"
"SNP166" "Gene2295"
"SNP166" "Gene3367"
"SNP166" "Gene3416"
"SNP166" "Gene4221"
"SNP167" "Gene1219"
"SNP167" "Gene1500"
"SNP167" "Gene4119"
"SNP167" "Gene4356"
"SNP169" "Gene595"
"SNP169" "Gene1193"
"SNP169" "Gene1417"
"SNP169" "Gene1461"
"SNP169" "Gene1678"
"SNP169" "Gene1910"
"SNP170" "Gene449"
"SNP170" "Gene487"
"SNP170" "Gene1575"
"SNP170" "Gene3088"
"SNP170" "Gene3601"
"SNP170" "Gene4112"
"SNP171" "Gene262"
"SNP171" "Gene924"
"SNP171" "Gene2354"
"SNP171" "Gene2463"
"SNP171" "Gene2518"
"SNP171" "Gene2844"
"SNP171" "Gene3847"
"SNP171" "Gene4111"
"SNP172" "Gene3125"
"SNP175" "Gene860"
"SNP175" "Gene1755"
"SNP175" "Gene1763"
"SNP175" "Gene1835"
"SNP175" "Gene2374"
"SNP175" "Gene2411"
"SNP175" "Gene2412"
"SNP175" "Gene2723"
"SNP175" "Gene2955"
"SNP175" "Gene3111"
"SNP175" "Gene3141"
"SNP175" "Gene3317"
"SNP175" "Gene3324"
"SNP175" "Gene3395"
"SNP175" "Gene3430"
"SNP175" "Gene3448"
"SNP175" "Gene3756"
"SNP175" "Gene3842"
"SNP175" "Gene4448"
"SNP178" "Gene187"
"SNP178" "Gene1448"
"SNP178" "Gene1641"
"SNP178" "Gene1816"
"SNP178" "Gene4394"
"SNP179" "Gene14"
"SNP179" "Gene374"
"SNP179" "Gene917"
"SNP179" "Gene974"
"SNP179" "Gene1292"
"SNP179" "Gene2070"
"SNP179" "Gene2977"
"SNP179" "Gene3465"
"SNP179" "Gene3525"
"SNP179" "Gene4022"
"SNP179" "Gene4216"
"SNP184" "Gene655"
"SNP184" "Gene723"
"SNP184" "Gene916"
"SNP184" "Gene1482"
"SNP184" "Gene1483"
"SNP184" "Gene1857"
"SNP184" "Gene2048"
"SNP184" "Gene2063"
"SNP184" "Gene3128"
"SNP184" "Gene3903"
"SNP184" "Gene4038"
"SNP184" "Gene4081"
"SNP185" "Gene975"
"SNP185" "Gene3066"
"SNP185" "Gene4292"
"SNP187" "Gene921"
"SNP187" "Gene1124"
"SNP187" "Gene2623"
"SNP187" "Gene2887"
"SNP187" "Gene4384"
"SNP188" "Gene921"
"SNP188" "Gene1124"
"SNP188" "Gene2623"
"SNP188" "Gene2887"
"SNP188" "Gene4384"
"SNP192" "Gene1669"
"SNP192" "Gene2228"
"SNP192" "Gene2229"
"SNP197" "Gene966"
"SNP197" "Gene2480"
"SNP197" "Gene2481"
"SNP197" "Gene3454"
"SNP197" "Gene3457"
"SNP205" "Gene507"
"SNP205" "Gene1339"
"SNP205" "Gene2672"
"SNP205" "Gene3727"
"SNP207" "Gene107"
"SNP207" "Gene109"
"SNP207" "Gene113"
"SNP207" "Gene580"
"SNP207" "Gene630"
"SNP207" "Gene808"
"SNP207" "Gene810"
"SNP207" "Gene1215"
"SNP207" "Gene2988"
"SNP207" "Gene3681"
"SNP210" "Gene4467"
"SNP218" "Gene609"
"SNP218" "Gene2907"
"SNP221" "Gene313"
"SNP221" "Gene1431"
"SNP221" "Gene1593"
"SNP221" "Gene1735"
"SNP221" "Gene1736"
"SNP221" "Gene1810"
"SNP221" "Gene2369"
"SNP221" "Gene2767"
"SNP221" "Gene3085"
"SNP221" "Gene3389"
"SNP221" "Gene3991"
"SNP222" "Gene178"
"SNP222" "Gene843"
"SNP222" "Gene845"
"SNP222" "Gene1210"
"SNP222" "Gene1494"
"SNP222" "Gene2653"
"SNP222" "Gene2674"
"SNP222" "Gene3180"
"SNP227" "Gene882"
"SNP227" "Gene1168"
"SNP227" "Gene1426"
"SNP227" "Gene1897"
"SNP227" "Gene2643"
"SNP227" "Gene2818"
"SNP227" "Gene2956"
"SNP227" "Gene3191"
"SNP227" "Gene3420"
"SNP227" "Gene3671"
"SNP227" "Gene4041"
"SNP227" "Gene4406"
"SNP229" "Gene413"
"SNP229" "Gene1180"
"SNP229" "Gene1568"
"SNP229" "Gene2314"
"SNP233" "Gene982"
"SNP233" "Gene1055"
"SNP233" "Gene1333"
"SNP233" "Gene1605"
"SNP233" "Gene2597"
"SNP233" "Gene2606"
"SNP233" "Gene3065"
"SNP233" "Gene3104"
"SNP233" "Gene4142"
"SNP233" "Gene4145"
"SNP233" "Gene4232"
"SNP234" "Gene982"
"SNP234" "Gene1055"
"SNP234" "Gene1333"
"SNP234" "Gene1605"
"SNP234" "Gene2597"
"SNP234" "Gene2606"
"SNP234" "Gene3065"
"SNP234" "Gene3104"
"SNP234" "Gene4142"
"SNP234" "Gene4145"
"SNP234" "Gene4232"
"SNP236" "Gene4467"
"SNP237" "Gene1174"
"SNP237" "Gene1725"
"SNP237" "Gene3082"
"SNP237" "Gene3458"
"SNP237" "Gene3512"
"SNP243" "Gene159"
"SNP243" "Gene486"
"SNP243" "Gene1046"
"SNP243" "Gene1356"
"SNP243" "Gene2921"
"SNP245" "Gene4467"
"SNP246" "Gene2936"
"SNP249" "Gene4374"
"SNP250" "Gene1167"
"SNP250" "Gene1253"
"SNP250" "Gene2465"
"SNP250" "Gene3133"
"SNP256" "Gene180"
"SNP256" "Gene293"
"SNP256" "Gene1664"
"SNP256" "Gene1665"
"SNP256" "Gene2127"
"SNP256" "Gene2470"
"SNP256" "Gene2471"
"SNP256" "Gene2538"
"SNP256" "Gene2795"
"SNP256" "Gene3146"
"SNP256" "Gene3801"
"SNP256" "Gene3804"
"SNP259" "Gene492"
"SNP259" "Gene493"
"SNP259" "Gene1672"
"SNP259" "Gene1872"
"SNP259" "Gene2015"
"SNP259" "Gene2171"
"SNP259" "Gene2569"
"SNP259" "Gene2975"
"SNP259" "Gene3222"
"SNP259" "Gene3506"
"SNP259" "Gene4357"
"SNP261" "Gene489"
"SNP261" "Gene768"
"SNP261" "Gene771"
"SNP261" "Gene1023"
"SNP261" "Gene2077"
"SNP261" "Gene2663"
"SNP261" "Gene3882"
"SNP261" "Gene3925"
"SNP263" "Gene272"
"SNP263" "Gene273"
"SNP263" "Gene276"
"SNP263" "Gene631"
"SNP263" "Gene1390"
"SNP263" "Gene1391"
"SNP263" "Gene1863"
"SNP263" "Gene1901"
"SNP263" "Gene2213"
"SNP263" "Gene3177"
"SNP267" "Gene821"
"SNP267" "Gene2105"
"SNP267" "Gene2541"
"SNP267" "Gene3063"
"SNP267" "Gene3100"
"SNP267" "Gene3370"
"SNP267" "Gene3436"
"SNP267" "Gene3502"
"SNP267" "Gene3564"
"SNP267" "Gene3647"
"SNP267" "Gene3942"
"SNP267" "Gene4233"
"SNP267" "Gene4348"
"SNP269" "Gene4467"
"SNP272" "Gene4467"
"SNP274" "Gene30"
"SNP274" "Gene2640"
"SNP274" "Gene3964"
"SNP274" "Gene4428"
"SNP280" "Gene659"
"SNP280" "Gene1138"
"SNP280" "Gene1380"
"SNP280" "Gene2582"
"SNP280" "Gene3645"
"SNP281" "Gene21"
"SNP281" "Gene538"
"SNP281" "Gene756"
"SNP281" "Gene1704"
"SNP282" "Gene4467"
"SNP284" "Gene108"
"SNP284" "Gene112"
"SNP284" "Gene132"
"SNP284" "Gene603"
"SNP284" "Gene1258"
"SNP284" "Gene1268"
"SNP284" "Gene1555"
"SNP284" "Gene2987"
"SNP284" "Gene3451"
"SNP284" "Gene3936"
"SNP284" "Gene3937"
"SNP284" "Gene4127"
"SNP284" "Gene4138"
"SNP284" "Gene4147"
"SNP285" "Gene1823"
"SNP285" "Gene2296"
"SNP286" "Gene4467"
"SNP288" "Gene499"
"SNP288" "Gene2903"
"SNP291" "Gene30"
"SNP291" "Gene2640"
"SNP291" "Gene3964"
"SNP291" "Gene4428"
"SNP292" "Gene30"
"SNP292" "Gene2640"
"SNP292" "Gene3964"
"SNP292" "Gene4428"
"SNP294" "Gene127"
"SNP294" "Gene264"
"SNP294" "Gene696"
"SNP294" "Gene1473"
"SNP294" "Gene2138"
"SNP294" "Gene2766"
"SNP294" "Gene3006"
"SNP294" "Gene3603"
"SNP294" "Gene3606"
"SNP294" "Gene4265"
"SNP294" "Gene4431"
"SNP297" "Gene4467"
"SNP298" "Gene4467"
"SNP300" "Gene290"
"SNP300" "Gene294"
"SNP300" "Gene295"
"SNP300" "Gene759"
"SNP300" "Gene919"
"SNP300" "Gene1651"
"SNP300" "Gene2303"
"SNP300" "Gene2735"
"SNP300" "Gene2860"
"SNP300" "Gene2897"
"SNP300" "Gene2980"
"SNP300" "Gene3558"
"SNP300" "Gene4287"
"SNP302" "Gene46"
"SNP302" "Gene522"
"SNP302" "Gene1151"
"SNP302" "Gene3649"
"SNP302" "Gene3734"
"SNP302" "Gene3979"
"SNP302" "Gene4251"
"SNP304" "Gene501"
"SNP304" "Gene2923"
"SNP307" "Gene1259"
"SNP307" "Gene1579"
"SNP307" "Gene2482"
"SNP309" "Gene1174"
"SNP309" "Gene1400"
"SNP309" "Gene1725"
"SNP309" "Gene3082"
"SNP309" "Gene3458"
"SNP309" "Gene3512"
"SNP310" "Gene812"
"SNP310" "Gene1560"
"SNP312" "Gene1439"
"SNP315" "Gene1138"
"SNP315" "Gene1380"
"SNP315" "Gene2582"
"SNP316" "Gene1138"
"SNP316" "Gene1380"
"SNP316" "Gene2582"
"SNP317" "Gene659"
"SNP317" "Gene1138"
"SNP317" "Gene1380"
"SNP317" "Gene2582"
"SNP317" "Gene3645"
"SNP324" "Gene520"
"SNP328" "Gene108"
"SNP328" "Gene112"
"SNP328" "Gene132"
"SNP328" "Gene603"
"SNP328" "Gene874"
"SNP328" "Gene1258"
"SNP328" "Gene1268"
"SNP328" "Gene1288"
"SNP328" "Gene1762"
"SNP328" "Gene3451"
"SNP328" "Gene3559"
"SNP328" "Gene4127"
"SNP328" "Gene4147"
"SNP329" "Gene108"
"SNP329" "Gene112"
"SNP329" "Gene132"
"SNP329" "Gene603"
"SNP329" "Gene874"
"SNP329" "Gene1258"
"SNP329" "Gene1268"
"SNP329" "Gene1288"
"SNP329" "Gene3451"
"SNP329" "Gene4127"
"SNP329" "Gene4138"
"SNP329" "Gene4147"
"SNP332" "Gene61"
"SNP332" "Gene971"
"SNP332" "Gene973"
"SNP332" "Gene2970"
"SNP333" "Gene61"
"SNP333" "Gene971"
"SNP333" "Gene973"
"SNP333" "Gene2970"
"SNP334" "Gene442"
"SNP334" "Gene971"
"SNP334" "Gene973"
"SNP334" "Gene1544"
"SNP334" "Gene2970"
"SNP337" "Gene30"
"SNP337" "Gene2640"
"SNP337" "Gene3964"
"SNP337" "Gene4428"
"SNP339" "Gene1137"
"SNP339" "Gene1654"
"SNP339" "Gene2142"
"SNP339" "Gene2293"
"SNP339" "Gene3029"
"SNP339" "Gene4413"
"SNP342" "Gene967"
"SNP342" "Gene2486"
"SNP342" "Gene4250"
"SNP342" "Gene4399"
"SNP343" "Gene967"
"SNP343" "Gene2486"
"SNP343" "Gene4250"
"SNP343" "Gene4399"
"SNP345" "Gene1543"
"SNP345" "Gene2907"
"SNP346" "Gene272"
"SNP346" "Gene273"
"SNP346" "Gene275"
"SNP346" "Gene276"
"SNP346" "Gene631"
"SNP346" "Gene650"
"SNP346" "Gene925"
"SNP346" "Gene1153"
"SNP346" "Gene1390"
"SNP346" "Gene1391"
"SNP346" "Gene1757"
"SNP346" "Gene2213"
"SNP346" "Gene3177"
"SNP347" "Gene1083"
"SNP347" "Gene1717"
"SNP347" "Gene2143"
"SNP347" "Gene2681"
"SNP347" "Gene3402"
"SNP347" "Gene4226"
"SNP349" "Gene1328"
"SNP349" "Gene3885"
"SNP355" "Gene2808"
"SNP355" "Gene3377"
"SNP357" "Gene1720"
"SNP362" "Gene253"
"SNP362" "Gene1443"
"SNP362" "Gene2364"
"SNP362" "Gene3368"
"SNP362" "Gene4330"
"SNP366" "Gene46"
"SNP366" "Gene522"
"SNP366" "Gene2509"
"SNP366" "Gene3734"
"SNP366" "Gene3979"
"SNP366" "Gene4251"
"SNP367" "Gene2078"
"SNP367" "Gene4099"
"SNP374" "Gene766"
"SNP374" "Gene827"
"SNP374" "Gene986"
"SNP374" "Gene1227"
"SNP374" "Gene1251"
"SNP374" "Gene1270"
"SNP374" "Gene1318"
"SNP374" "Gene1416"
"SNP374" "Gene2035"
"SNP374" "Gene2133"
"SNP374" "Gene2134"
"SNP374" "Gene2251"
"SNP374" "Gene2601"
"SNP374" "Gene3153"
"SNP374" "Gene3371"
"SNP374" "Gene3732"
"SNP374" "Gene4116"
"SNP374" "Gene4117"
"SNP374" "Gene4118"
"SNP374" "Gene4131"
"SNP374" "Gene4149"
"SNP374" "Gene4285"
"SNP376" "Gene98"
"SNP376" "Gene225"
"SNP376" "Gene422"
"SNP376" "Gene688"
"SNP376" "Gene693"
"SNP376" "Gene979"
"SNP376" "Gene1506"
"SNP376" "Gene1724"
"SNP376" "Gene2493"
"SNP376" "Gene2494"
"SNP376" "Gene2686"
"SNP376" "Gene2933"
"SNP376" "Gene3074"
"SNP376" "Gene3077"
"SNP376" "Gene3134"
"SNP376" "Gene4319"
"SNP376" "Gene4430"
"SNP377" "Gene73"
"SNP377" "Gene409"
"SNP377" "Gene3541"
"SNP377" "Gene4067"
"SNP377" "Gene4456"
"SNP379" "Gene1174"
"SNP379" "Gene1400"
"SNP379" "Gene1725"
"SNP379" "Gene3082"
"SNP379" "Gene3458"
"SNP379" "Gene4258"
"SNP380" "Gene1174"
"SNP380" "Gene3082"
"SNP380" "Gene3458"
"SNP380" "Gene3512"
"SNP382" "Gene223"
"SNP382" "Gene1341"
"SNP382" "Gene1592"
"SNP382" "Gene2369"
"SNP382" "Gene2553"
"SNP382" "Gene2554"
"SNP382" "Gene2587"
"SNP382" "Gene2767"
"SNP382" "Gene2843"
"SNP382" "Gene3389"
"SNP382" "Gene3991"
"SNP382" "Gene4157"
"SNP382" "Gene4333"
"SNP383" "Gene151"
"SNP383" "Gene286"
"SNP383" "Gene953"
"SNP383" "Gene961"
"SNP383" "Gene962"
"SNP383" "Gene1293"
"SNP383" "Gene1858"
"SNP383" "Gene2010"
"SNP383" "Gene2590"
"SNP383" "Gene2591"
"SNP383" "Gene2592"
"SNP383" "Gene2598"
"SNP383" "Gene2757"
"SNP383" "Gene2761"
"SNP383" "Gene2973"
"SNP383" "Gene4159"
"SNP384" "Gene3196"
"SNP385" "Gene585"
"SNP385" "Gene1089"
"SNP385" "Gene1692"
"SNP385" "Gene1785"
"SNP385" "Gene1860"
"SNP385" "Gene1861"
"SNP385" "Gene1862"
"SNP385" "Gene2217"
"SNP385" "Gene2218"
"SNP385" "Gene2219"
"SNP385" "Gene2220"
"SNP385" "Gene2221"
"SNP385" "Gene2222"
"SNP385" "Gene2223"
"SNP385" "Gene2693"
"SNP385" "Gene2694"
"SNP385" "Gene2695"
"SNP385" "Gene2696"
"SNP385" "Gene2697"
"SNP385" "Gene2698"
"SNP385" "Gene3651"
"SNP387" "Gene387"
"SNP387" "Gene706"
"SNP387" "Gene1386"
"SNP387" "Gene2141"
"SNP387" "Gene2775"
"SNP387" "Gene2810"
"SNP387" "Gene2920"
"SNP387" "Gene3599"
"SNP388" "Gene387"
"SNP388" "Gene1386"
"SNP388" "Gene2141"
"SNP388" "Gene2775"
"SNP388" "Gene2920"
"SNP388" "Gene3599"
"SNP389" "Gene387"
"SNP389" "Gene1386"
"SNP389" "Gene2775"
"SNP389" "Gene2920"
"SNP389" "Gene3599"
"SNP390" "Gene387"
"SNP390" "Gene1386"
"SNP390" "Gene2775"
"SNP390" "Gene3314"
"SNP390" "Gene3599"
"SNP391" "Gene19"
"SNP391" "Gene564"
"SNP391" "Gene782"
"SNP391" "Gene1156"
"SNP391" "Gene2101"
"SNP391" "Gene2102"
"SNP391" "Gene2182"
"SNP391" "Gene2343"
"SNP391" "Gene2344"
"SNP391" "Gene2516"
"SNP391" "Gene2589"
"SNP391" "Gene2848"
"SNP391" "Gene3683"
"SNP391" "Gene4026"
"SNP391" "Gene4281"
"SNP394" "Gene2100"
"SNP394" "Gene2276"
"SNP394" "Gene2443"
"SNP394" "Gene2444"
"SNP394" "Gene2889"
"SNP394" "Gene2895"
"SNP394" "Gene3005"
"SNP394" "Gene3496"
"SNP396" "Gene870"
"SNP396" "Gene876"
"SNP396" "Gene1272"
"SNP396" "Gene1547"
"SNP396" "Gene3481"
"SNP396" "Gene3517"
"SNP400" "Gene57"
"SNP400" "Gene494"
"SNP400" "Gene1255"
"SNP400" "Gene1999"
"SNP401" "Gene1138"
"SNP401" "Gene1380"
"SNP401" "Gene2582"
"SNP402" "Gene659"
"SNP402" "Gene1138"
"SNP402" "Gene1380"
"SNP402" "Gene2582"
"SNP402" "Gene3645"
"SNP404" "Gene21"
"SNP404" "Gene756"
"SNP404" "Gene1704"
"SNP405" "Gene3780"
"SNP406" "Gene3125"
"SNP407" "Gene1014"
"SNP407" "Gene1085"
"SNP412" "Gene651"
"SNP412" "Gene4274"
"SNP414" "Gene520"
"SNP415" "Gene299"
"SNP415" "Gene670"
"SNP415" "Gene2091"
"SNP415" "Gene2268"
"SNP415" "Gene2575"
"SNP415" "Gene2879"
"SNP415" "Gene3717"
"SNP415" "Gene4236"
"SNP418" "Gene1141"
"SNP419" "Gene296"
"SNP419" "Gene297"
"SNP419" "Gene300"
"SNP419" "Gene638"
"SNP419" "Gene692"
"SNP419" "Gene1047"
"SNP419" "Gene1048"
"SNP419" "Gene1049"
"SNP419" "Gene1051"
"SNP419" "Gene1052"
"SNP419" "Gene1057"
"SNP419" "Gene1064"
"SNP419" "Gene1067"
"SNP419" "Gene1070"
"SNP419" "Gene1072"
"SNP419" "Gene1073"
"SNP419" "Gene1814"
"SNP419" "Gene1907"
"SNP419" "Gene1908"
"SNP419" "Gene3090"
"SNP419" "Gene3455"
"SNP419" "Gene3456"
"SNP419" "Gene3532"
"SNP419" "Gene3537"
"SNP419" "Gene3680"
"SNP419" "Gene3737"
"SNP419" "Gene3738"
"SNP419" "Gene3739"
"SNP419" "Gene3740"
"SNP419" "Gene3741"
"SNP419" "Gene3742"
"SNP419" "Gene3743"
"SNP419" "Gene3744"
"SNP419" "Gene3745"
"SNP419" "Gene3746"
"SNP419" "Gene3747"
"SNP419" "Gene3748"
"SNP419" "Gene3749"
"SNP419" "Gene3750"
"SNP419" "Gene3751"
"SNP419" "Gene3752"
"SNP419" "Gene3753"
"SNP419" "Gene3754"
"SNP419" "Gene3755"
"SNP419" "Gene3826"
"SNP419" "Gene3830"
"SNP419" "Gene4187"
"SNP419" "Gene4191"
"SNP419" "Gene4192"
"SNP419" "Gene4193"
"SNP419" "Gene4194"
"SNP419" "Gene4195"
"SNP419" "Gene4196"
"SNP419" "Gene4197"
