"SNP" "Gene"
"SNP6" "Gene4467"
"SNP7" "Gene828"
"SNP7" "Gene3080"
"SNP8" "Gene187"
"SNP8" "Gene1448"
"SNP8" "Gene1641"
"SNP8" "Gene1816"
"SNP8" "Gene3009"
"SNP8" "Gene4394"
"SNP9" "Gene2406"
"SNP9" "Gene4207"
"SNP10" "Gene828"
"SNP10" "Gene3080"
"SNP10" "Gene3270"
"SNP13" "Gene4467"
"SNP14" "Gene828"
"SNP14" "Gene3080"
"SNP18" "Gene1504"
"SNP18" "Gene3870"
"SNP19" "Gene4467"
"SNP20" "Gene4467"
"SNP22" "Gene4467"
"SNP26" "Gene4467"
"SNP29" "Gene461"
"SNP29" "Gene496"
"SNP29" "Gene590"
"SNP29" "Gene1331"
"SNP29" "Gene1832"
"SNP29" "Gene1878"
"SNP29" "Gene2020"
"SNP29" "Gene2780"
"SNP29" "Gene2947"
"SNP31" "Gene395"
"SNP31" "Gene890"
"SNP31" "Gene1826"
"SNP31" "Gene2561"
"SNP31" "Gene3167"
"SNP31" "Gene3179"
"SNP31" "Gene3374"
"SNP31" "Gene3492"
"SNP31" "Gene3593"
"SNP31" "Gene3819"
"SNP31" "Gene4389"
"SNP33" "Gene432"
"SNP33" "Gene2680"
"SNP37" "Gene9"
"SNP37" "Gene128"
"SNP37" "Gene722"
"SNP37" "Gene1829"
"SNP38" "Gene9"
"SNP38" "Gene128"
"SNP38" "Gene722"
"SNP38" "Gene1829"
"SNP42" "Gene870"
"SNP42" "Gene876"
"SNP42" "Gene1272"
"SNP42" "Gene1547"
"SNP42" "Gene3481"
"SNP42" "Gene3517"
"SNP45" "Gene2191"
"SNP45" "Gene4183"
"SNP49" "Gene1352"
"SNP49" "Gene2852"
"SNP51" "Gene1352"
"SNP51" "Gene2852"
"SNP56" "Gene4467"
"SNP62" "Gene952"
"SNP62" "Gene1044"
"SNP62" "Gene2474"
"SNP62" "Gene3655"
"SNP66" "Gene189"
"SNP66" "Gene586"
"SNP66" "Gene1454"
"SNP66" "Gene1563"
"SNP66" "Gene2052"
"SNP66" "Gene2056"
"SNP66" "Gene2363"
"SNP66" "Gene2475"
"SNP66" "Gene4243"
"SNP67" "Gene293"
"SNP67" "Gene840"
"SNP67" "Gene1197"
"SNP67" "Gene1664"
"SNP67" "Gene2127"
"SNP67" "Gene2471"
"SNP67" "Gene2538"
"SNP67" "Gene2795"
"SNP67" "Gene2915"
"SNP67" "Gene3801"
"SNP67" "Gene3804"
"SNP68" "Gene293"
"SNP68" "Gene829"
"SNP68" "Gene840"
"SNP68" "Gene1197"
"SNP68" "Gene2126"
"SNP68" "Gene2538"
"SNP68" "Gene2795"
"SNP68" "Gene2915"
"SNP68" "Gene3695"
"SNP68" "Gene3804"
"SNP71" "Gene1002"
"SNP71" "Gene2966"
"SNP72" "Gene828"
"SNP72" "Gene3080"
"SNP72" "Gene3270"
"SNP73" "Gene366"
"SNP73" "Gene2298"
"SNP73" "Gene2547"
"SNP75" "Gene659"
"SNP75" "Gene1138"
"SNP75" "Gene1380"
"SNP75" "Gene2582"
"SNP75" "Gene3645"
"SNP76" "Gene659"
"SNP76" "Gene1138"
"SNP76" "Gene1380"
"SNP76" "Gene2582"
"SNP76" "Gene3645"
"SNP78" "Gene178"
"SNP78" "Gene843"
"SNP78" "Gene845"
"SNP78" "Gene1210"
"SNP78" "Gene1494"
